Identifier,Occurrence Date,Offense,Offense Classification,longitude,latitude
96c80abd,02/13/2015 02:10:00 PM,GRAND LARCENY,FELONY,-73.983265634,40.779307484
c3850676,02/13/2015 02:20:00 PM,BURGLARY,FELONY,-73.849862531,40.69297611
ebc76279,02/13/2015 02:30:00 PM,FELONY ASSAULT,FELONY,-73.999846551,40.619442536
279f477f,02/13/2015 02:30:00 PM,BURGLARY,FELONY,-73.789366734,40.706734169
57be0ab5,02/13/2015 02:47:00 PM,GRAND LARCENY,FELONY,-73.968333252,40.760601688
26023672,02/13/2015 03:00:00 PM,GRAND LARCENY,FELONY,-73.975773136,40.581336701
d99e88d2,02/13/2015 03:00:00 PM,GRAND LARCENY,FELONY,-74.007368032,40.654751245
19b5c3f1,02/13/2015 03:00:00 PM,GRAND LARCENY,FELONY,-73.813373584,40.709377635
5538d8a,02/13/2015 03:00:00 PM,GRAND LARCENY,FELONY,-73.985923447,40.74370577
b16e6ec3,02/13/2015 03:00:00 PM,BURGLARY,FELONY,-73.957135418,40.772502012
9c89be71,02/13/2015 03:00:00 PM,GRAND LARCENY,FELONY,-73.915927239,40.857744098
fb4cdda9,02/13/2015 03:00:00 PM,FELONY ASSAULT,FELONY,-73.899402084,40.858373133
7d5e2b17,02/13/2015 03:05:00 PM,FELONY ASSAULT,FELONY,-73.946885823,40.808374136
c10a928,02/13/2015 03:10:00 PM,ROBBERY,FELONY,-73.963077726,40.649448124
ef7fc80f,02/13/2015 03:15:00 PM,GRAND LARCENY,FELONY,-73.775507868,40.714656834
b4953826,02/13/2015 03:15:00 PM,BURGLARY,FELONY,-73.893884137,40.825258747
966098f,02/13/2015 03:20:00 PM,ROBBERY,FELONY,-73.915940705,40.652585325
8a0c4bb8,02/13/2015 03:20:00 PM,GRAND LARCENY,FELONY,-73.985848057,40.690866375
92263772,02/13/2015 03:30:00 PM,GRAND LARCENY,FELONY,-73.853018458,40.673069575
3d79946d,02/13/2015 03:30:00 PM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-73.964742957,40.703413669
a59fe586,02/13/2015 03:30:00 PM,GRAND LARCENY,FELONY,-73.996632474,40.710783222
1a2652a2,02/13/2015 03:30:00 PM,BURGLARY,FELONY,-73.988404576,40.774433463
971dbfb3,02/13/2015 03:30:00 PM,GRAND LARCENY,FELONY,-73.767842585,40.760185479
e74d03a8,02/13/2015 03:40:00 PM,ROBBERY,FELONY,-73.917763823,40.69388456
11828a28,02/13/2015 03:55:00 PM,ROBBERY,FELONY,-73.8891718,40.871217188
f44cf62d,02/13/2015 03:57:00 PM,GRAND LARCENY,FELONY,-73.989282176,40.750430768
ac6718a9,02/13/2015 04:00:00 PM,FELONY ASSAULT,FELONY,-74.013157189,40.605629978
7e76465,02/13/2015 04:00:00 PM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-73.959352821,40.706398197
d61510c5,02/13/2015 04:00:00 PM,FELONY ASSAULT,FELONY,-73.865855039,40.741591905
70455907,02/13/2015 04:00:00 PM,GRAND LARCENY,FELONY,-73.914997233,40.767971766
ab9587c3,02/13/2015 04:00:00 PM,GRAND LARCENY,FELONY,-73.958257949,40.772974519
3d603009,02/13/2015 04:00:00 PM,GRAND LARCENY,FELONY,-73.973981117,40.791832727
127fa65a,02/13/2015 04:00:00 PM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-73.931108939,40.820640185
2d65af4d,02/13/2015 04:00:00 PM,BURGLARY,FELONY,-73.904437269,40.828578104
696b7822,02/13/2015 04:00:00 PM,BURGLARY,FELONY,-73.891886594,40.829349265
a73160c8,02/13/2015 04:00:00 PM,GRAND LARCENY,FELONY,-73.901638156,40.866815014
667f7e,02/13/2015 04:04:00 PM,GRAND LARCENY,FELONY,-73.963781279,40.77406056
6a418968,02/13/2015 04:15:00 PM,GRAND LARCENY,FELONY,-73.967386531,40.799447675
bb79fda2,02/13/2015 04:40:00 PM,BURGLARY,FELONY,-73.939934878,40.685200086
3213bbe2,02/13/2015 04:45:00 PM,FELONY ASSAULT,FELONY,-73.884371919,40.791151867
830bd7c6,02/13/2015 05:00:00 PM,GRAND LARCENY,FELONY,-73.997648908,40.629713521
1ba1ce7,02/13/2015 05:00:00 PM,FELONY ASSAULT,FELONY,-73.935776645,40.663687029
1065e084,02/13/2015 05:00:00 PM,GRAND LARCENY,FELONY,-73.960095959,40.682066079
111b69bc,02/13/2015 05:00:00 PM,GRAND LARCENY,FELONY,-73.987196009,40.694388072
c102fd56,02/13/2015 05:00:00 PM,GRAND LARCENY OF MOTOR VEHICLE,FELONY,-73.943336575,40.730034797
d969426d,02/13/2015 05:00:00 PM,GRAND LARCENY,FELONY,-73.792879432,40.740512143
2c1ad115,02/13/2015 05:00:00 PM,GRAND LARCENY,FELONY,-73.986122517,40.758228256
56852be9,02/13/2015 05:00:00 PM,GRAND LARCENY,FELONY,-73.978124818,40.765604885
704e4966,02/13/2015 05:00:00 PM,GRAND LARCENY,FELONY,-73.945300203,40.808142838
10338db4,02/13/2015 05:00:00 PM,GRAND LARCENY,FELONY,-73.955415259,40.818063875
