lsoa,rate_2014,rate_2015,rate_2016,rate_2017,rate_2018
E01000158,220.54785765660876,235.28272158419531,255.2689686933655,238.46123826402513,255.48481726924786
E01000159,269.45537763690106,299.4470727932068,322.14052548130377,304.4381160110469,318.2547747009292
E01000160,169.23346822674068,172.65858677333947,183.70545867803025,176.9818033670371,181.75642877418588
E01000161,167.17834702183765,163.6737713349892,172.25398257831154,159.5803736658204,164.79588438460635
E01000162,171.15899367740838,169.93507872122444,173.57371896858936,166.26785900356342,190.06775506884733
E01000163,175.74846352625866,180.43511524405642,171.62327973164832,185.54814553987944,344.09053864670125
E01000164,180.3360311593877,184.3835389638346,175.82332504194704,196.17512206628794,395.2582187542906
E01000165,172.03793887220672,170.7768187167736,173.55693453486785,169.40283032742926,228.52850995240505
E01000166,213.0463869596792,214.91955742909778,195.06257961412663,243.41254803419568,182.88770603676588
E01000167,198.44676235768856,228.52167920723477,218.8891411048976,273.85091628579204,193.92718179627292
E01000168,228.0963770532286,222.28428411929121,189.38294571089446,210.065063253019,178.12137919999586
E01000169,196.80957638359087,239.51880454742945,224.69319006532183,288.408429033552,202.8032217090904
E01000170,181.0288185424085,233.2316520225229,217.11536273813496,257.14055876406013,192.14473338717426
E01000171,195.44183010411467,235.09709009333943,226.14155378660297,289.90983268586683,200.95368300285637
E01000172,206.465528252072,204.8818026504658,182.23213653680526,200.44906382116332,167.8692139833558
E01000173,191.55658103355532,232.40591479521734,214.65698480216815,260.3452982230515,194.43769456151813
E01000174,192.67406610512498,226.59645744934707,222.441508770159,273.1298936996405,198.42615418119192
E01000175,219.69782308554065,265.1770883255367,266.6471206578543,294.02328455467347,243.52046417894246
E01000176,208.58317924539995,194.19565914810218,187.1877905121442,202.06268437409648,216.24119522603166
E01000177,238.3450746423537,241.0224735988209,213.81882879030914,214.96776472818902,213.80401225790268
E01000178,191.7106909553077,195.11067338891644,180.88565485506408,190.4078874824287,207.95331735520932
E01000179,226.34467664392693,215.7345690493341,199.50743219323897,214.18275405171326,223.2518802728666
E01000180,183.87578149100477,191.96839564868793,185.73999005955397,198.27300581002982,194.62402358127326
E01000181,168.02829771103546,176.67578337081488,171.43657168612089,185.6399991809217,182.0283400884275
E01000182,155.09086022946985,173.7584196777915,168.2596975973029,188.79844067785316,130.17147147960733
E01000183,170.545416773516,180.98684525268652,179.830425898144,194.58969718179563,189.18350826195947
E01000184,198.46007942770268,193.80768012198726,191.86867001757875,205.2884513820771,213.85637896275378
E01000185,248.59531185808459,236.30686544210673,211.79349092053337,205.46088301983738,233.07771766303009
E01000186,171.21017885722506,195.06912834956975,197.77321360281056,209.7543765520476,286.82165868219727
E01000187,169.62723127281018,194.97756286571348,198.9888017034713,211.68061030941752,312.9103106745757
E01000188,173.88956037406214,193.79320411006245,198.83728509197485,205.36534692077893,301.875216175014
E01000189,197.63506999903376,194.05780652234984,197.08578296308443,198.57621202926245,192.1625154496948
E01000190,196.49127582305331,210.93770894190445,215.15554062188966,224.2673830209312,237.90214252693454
E01000191,181.8564915705215,205.01536542833466,206.3328809186127,222.13738487468967,260.8949630874317
E01000192,182.89564162072074,205.48442033276606,209.08722025267733,222.71404452751048,235.30068599440688
E01000193,191.93657956714185,215.38785909960967,219.6810900170094,234.02681734947424,245.02323263383298
E01000194,177.49664642416874,190.93029728336325,199.14297956114166,197.27285312229648,201.56986386346986
E01000195,167.54501749428343,189.49237867201424,190.99053495151134,194.36800009628024,345.7762983407407
E01000196,176.6074038141918,142.83017241966,147.45185042316217,267.0930559585681,281.6133495770787
E01000197,188.20127752530237,132.95693461452777,152.69324179447534,222.71491081237556,240.87710395721584
E01000198,158.2214658467069,142.19403504343703,146.34648715110737,165.3381274459259,171.6595570503052
E01000199,153.81619455574833,157.55432478495442,154.7615994940404,284.44147742295996,299.20709893703787
E01000200,150.58087740930623,143.324789854348,146.9401211066209,284.97059065728985,293.03779127349947
E01000201,147.8796094673511,136.74882166091882,141.2079858414066,169.92222447756606,171.23458342907318
E01000202,139.94288466122777,133.6015857441387,141.94123161005177,222.53162482304586,222.28777996528657
E01000203,146.18222479489623,130.44946369912492,141.572011140495,192.84838448733598,192.4801952106206
E01000204,153.45851199227818,162.4066897988514,160.74365502238206,377.66662143233333,394.9005727470845
E01000205,123.7862515526103,136.8217198247195,146.7282657914149,150.25629040059945,141.78171932597044
